Habilidad_base,Habilidad_proceso_intermedio,Variación_semántica_habilidad,N_cluster,Habilidad_representativa_cluster
reparar productos sanitarios,reparar productos sanitarios,Reparar productos sanitarios,1214,Gestionar la producción y mantenimiento de productos sanitarios
terminar productos sanitarios,terminar productos sanitarios,Terminar productos sanitarios,1214,Gestionar la producción y mantenimiento de productos sanitarios
construir modelos productos sanitarios,construir modelos productos sanitarios,Construir modelos productos sanitarios,1214,Gestionar la producción y mantenimiento de productos sanitarios
diseñar productos sanitarios,diseñar productos sanitarios,Diseñar productos sanitarios,1214,Gestionar la producción y mantenimiento de productos sanitarios
fabricar productos sanitarios,fabricar productos sanitarios,Fabricar productos sanitarios,1214,Gestionar la producción y mantenimiento de productos sanitarios
asesorar características productos sanitarios,asesorar características productos sanitarios,Asesorar características productos sanitarios,1214,Gestionar la producción y mantenimiento de productos sanitarios
redactar partes meteorológicos,redactar partes meteorológicos,Redactar partes meteorológicos,1215,Realizar análisis y pronóstico meteorológico
recabar datos meteorológicos,recabar datos meteorológicos,Recabar datos meteorológicos,1215,Realizar análisis y pronóstico meteorológico
utilizar información meteorológica,utilizar información meteorológica,Utilizar información meteorológica,1215,Realizar análisis y pronóstico meteorológico
analizar pronóstico meteorológico,analizar pronóstico meteorológico,Analizar pronóstico meteorológico,1215,Realizar análisis y pronóstico meteorológico
revisar información previsiones meteorológicas,revisar información previsiones meteorológicas,Revisar información previsiones meteorológicas,1215,Realizar análisis y pronóstico meteorológico
efectuar seguimiento programación,efectuar seguimiento programación,Efectuar seguimiento programación,1216,Coordinar y supervisar actividades y eventos
efectuar seguimiento noticias,efectuar seguimiento noticias,Efectuar seguimiento noticias,1216,Coordinar y supervisar actividades y eventos
realizar seguimiento actividades relacionadas eventos,seguimiento actividades relacionadas eventos,Realizar seguimiento actividades relacionadas eventos,1216,Coordinar y supervisar actividades y eventos
efectuar seguimiento intérpretes,efectuar seguimiento intérpretes,Efectuar seguimiento intérpretes,1216,Coordinar y supervisar actividades y eventos
efectuar seguimiento equipo,efectuar seguimiento equipo,Efectuar seguimiento equipo,1216,Coordinar y supervisar actividades y eventos
proteger pieza metal,proteger pieza metal,Proteger pieza metal,1217,Supervisar protección de piezas en procesos de fabricación
proteger piezas proceso fabricación,proteger piezas proceso fabricación,Proteger piezas proceso fabricación,1217,Supervisar protección de piezas en procesos de fabricación
calcular impuestos,calcular impuestos,Calcular impuestos,1218,Realizar cálculos tributarios
preparar películas planchas impresión,preparar películas planchas impresión,Preparar películas planchas impresión,1219,Realizar procesos de impresión y preparación de películas
ajustar impresora películas,ajustar impresora películas,Ajustar impresora películas,1219,Realizar procesos de impresión y preparación de películas
identificar deficiencias capacidades,identificar deficiencias capacidades,Identificar deficiencias capacidades,1220,Evaluar competencias y habilidades personales
analizar capacidad personal,analizar capacidad personal,Analizar capacidad personal,1220,Evaluar competencias y habilidades personales
gestionar caja,gestionar caja,Gestionar caja,1221,Gestionar operaciones de caja
gestionar caja juego,gestionar caja juego,Gestionar caja juego,1221,Gestionar operaciones de caja
manejar caja registradora,manejar caja registradora,Manejar caja registradora,1221,Gestionar operaciones de caja
manejar flujo caja,manejar flujo caja,Manejar flujo caja,1221,Gestionar operaciones de caja
supervisar cumplimiento acuerdos licencia,supervisar cumplimiento acuerdos licencia,Supervisar cumplimiento acuerdos licencia,1222,Gestionar acuerdos de licencia
elaborar acuerdos licencia,elaborar acuerdos licencia,Elaborar acuerdos licencia,1222,Gestionar acuerdos de licencia
preparar acuerdos licencia,preparar acuerdos licencia,Preparar acuerdos licencia,1222,Gestionar acuerdos de licencia
utilizar escáneres tridimensionales prendas vestir,utilizar escáneres tridimensionales prendas vestir,Utilizar escáneres tridimensionales prendas vestir,1223,Aplicar tecnologías de escaneo tridimensional en prendas de vestir
tecnologías escaneo corporal tridimensional,tecnologías escaneo corporal tridimensional,Tecnologías escaneo corporal tridimensional,1223,Aplicar tecnologías de escaneo tridimensional en prendas de vestir
junit,escribir pruebas con junit,Escribir pruebas con junit,1224,Desarrollar y probar código con junit
codificar junit,codificar escribir pruebas con junit,Codificar escribir pruebas con junit,1224,Desarrollar y probar código con junit
legislación ambiental materia agricultura silvicultura,legislación ambiental materia agricultura silvicultura,Legislación ambiental materia agricultura silvicultura,1225,Interpretar legislación ambiental y agrícola
legislación materia agricultura,legislación materia agricultura,Legislación materia agricultura,1225,Interpretar legislación ambiental y agrícola
legislación relativa contaminación,legislación relativa contaminación,Legislación relativa contaminación,1225,Interpretar legislación ambiental y agrícola
facilitar información programas estudio,facilitar información programas estudio,Facilitar información programas estudio,1226,Diseñar y promover programas de estudio
concebir programas estudio,concebir programas estudio,Concebir programas estudio,1226,Diseñar y promover programas de estudio
promover programas estudio,promover programas estudio,Promover programas estudio,1226,Diseñar y promover programas de estudio
garantizar adhesión programa estudio,garantizar adhesión programa estudio,Garantizar adhesión programa estudio,1226,Diseñar y promover programas de estudio
materiales ecológicos,reconocer materiales ecológicos,Reconocer materiales ecológicos,1227,Identificar y reconocer distintos tipos de materiales
ciencia materiales,identificar ciencia de materiales,Identificar ciencia de materiales,1227,Identificar y reconocer distintos tipos de materiales
materiales avanzados,reconocer materiales avanzados,Reconocer materiales avanzados,1227,Identificar y reconocer distintos tipos de materiales
materiales compuestos,reconocer materiales compuestos,Reconocer materiales compuestos,1227,Identificar y reconocer distintos tipos de materiales
diagramas circuitos,identificar diagramas de circuitos,Identificar diagramas de circuitos,1228,Interpretar diagramas y especificaciones de diseño electrónico
interpretar esquemas eléctricos,interpretar esquemas eléctricos,Interpretar esquemas eléctricos,1228,Interpretar diagramas y especificaciones de diseño electrónico
interpretar especificaciones diseño electrónico,interpretar especificaciones diseño electrónico,Interpretar especificaciones diseño electrónico,1228,Interpretar diagramas y especificaciones de diseño electrónico
mercado energía,mercado comprender tipos de energía,Mercado comprender tipos de energía,1229,Analizar y comprender las tendencias y tipos de energía en el mercado
analizar tendencias mercado energía,analizar tendencias mercado comprender tipos de energía,Analizar tendencias mercado comprender tipos de energía,1229,Analizar y comprender las tendencias y tipos de energía en el mercado
hacer sobretítulos,hacer sobretítulos,Hacer sobretítulos,1230,Crear titulares y sobretítulos
escribir titulares,escribir titulares,Escribir titulares,1230,Crear titulares y sobretítulos
legislación transporte mercancías peligrosas,legislación transporte mercancías peligrosas,Legislación transporte mercancías peligrosas,1231,Gestionar normativas y certificaciones en transporte de mercancías peligrosas
marcos normativos transporte mercancías peligrosas,marcos normativos transporte mercancías peligrosas,Marcos normativos transporte mercancías peligrosas,1231,Gestionar normativas y certificaciones en transporte de mercancías peligrosas
revisar certificaciones transporte mercancías peligrosas,revisar certificaciones transporte mercancías peligrosas,Revisar certificaciones transporte mercancías peligrosas,1231,Gestionar normativas y certificaciones en transporte de mercancías peligrosas
reglamento general protección datos rgpd,reglamento general protección datos rgpd,Reglamento general protección datos rgpd,1232,Implementar el reglamento general de protección de datos (rgpd)
creación prototipos industria prendas vestir,creación prototipos industria prendas vestir,Creación prototipos industria prendas vestir,1233,Fabricar y gestionar producción de prendas y artículos textiles
fabricación prendas infantiles,fabricación prendas infantiles,Fabricación prendas infantiles,1233,Fabricar y gestionar producción de prendas y artículos textiles
fabricación prendas vestir,fabricación prendas vestir,Fabricación prendas vestir,1233,Fabricar y gestionar producción de prendas y artículos textiles
fabricar prendas vestir,fabricar prendas vestir,Fabricar prendas vestir,1233,Fabricar y gestionar producción de prendas y artículos textiles
tecnología fabricación prendas vestir,tecnología fabricación prendas vestir,Tecnología fabricación prendas vestir,1233,Fabricar y gestionar producción de prendas y artículos textiles
definir métodos fabricación vestuario,definir métodos fabricación vestuario,Definir métodos fabricación vestuario,1233,Fabricar y gestionar producción de prendas y artículos textiles
fabricar equipos protección personal elaborados tejidos,fabricar equipos protección personal elaborados tejidos,Fabricar equipos protección personal elaborados tejidos,1233,Fabricar y gestionar producción de prendas y artículos textiles
fabricación artículos textiles confeccionados,fabricación artículos textiles confeccionados,Fabricación artículos textiles confeccionados,1233,Fabricar y gestionar producción de prendas y artículos textiles
gestionar instrucciones cliente confección prendas vestir,gestionar instrucciones cliente confección prendas vestir,Gestionar instrucciones cliente confección prendas vestir,1233,Fabricar y gestionar producción de prendas y artículos textiles
manipular cristalería,manipular manipular cristalería para realizar análisis de laboratorio,Manipular manipular cristalería para realizar análisis de laboratorio,1234,Manipular cristalería para análisis de laboratorio
seleccionar cristalería servicio,seleccionar manipular cristalería para realizar análisis de laboratorio servicio,Seleccionar manipular cristalería para realizar análisis de laboratorio servicio,1234,Manipular cristalería para análisis de laboratorio
cristalería,manipular cristalería para realizar análisis de laboratorio,Manipular cristalería para realizar análisis de laboratorio,1234,Manipular cristalería para análisis de laboratorio
preparar avisos aviadores servicios terminales aeroportuarias,preparar avisos aviadores servicios terminales aeroportuarias,Preparar avisos aviadores servicios terminales aeroportuarias,1235,Coordinar servicios de terminal aeroportuaria
utilizar herramientas localización,utilizar herramientas localización,Utilizar herramientas localización,1236,Gestionar herramientas de localización de software
gestionar localización,gestionar localización,Gestionar localización,1236,Gestionar herramientas de localización de software
gestionar localización software,gestionar localización software,Gestionar localización software,1236,Gestionar herramientas de localización de software
analizar textos teatrales,analizar textos teatrales,Analizar textos teatrales,1237,Analizar elementos y conceptos en producciones teatrales
analizar concepto artístico función actuaciones teatrales,analizar concepto artístico función actuaciones teatrales,Analizar concepto artístico función actuaciones teatrales,1237,Analizar elementos y conceptos en producciones teatrales
analizar escenografía,analizar escenografía,Analizar escenografía,1237,Analizar elementos y conceptos en producciones teatrales
cuidar caballos,cuidar caballos,Cuidar caballos,1238,Cuidar y mantener la salud de los caballos
proporcionar cuidados caballos,proporcionar cuidados caballos,Proporcionar cuidados caballos,1238,Cuidar y mantener la salud de los caballos
sistema cifrado archivo efs,cifrado archivo efs,Sistema cifrado archivo efs,1239,Implementar sistema de cifrado de archivos efs
asegurar mercancía,asegurar mercancía,Asegurar mercancía,1240,Gestionar logística de mercancías
cargar mercancía,cargar mercancía,Cargar mercancía,1240,Gestionar logística de mercancías
descargar mercancía,descargar mercancía,Descargar mercancía,1240,Gestionar logística de mercancías
transferir mercancías,transferir mercancías,Transferir mercancías,1240,Gestionar logística de mercancías
manipular mercancía,manipular mercancía,Manipular mercancía,1240,Gestionar logística de mercancías
cargar productos envío,cargar productos envío,Cargar productos envío,1240,Gestionar logística de mercancías
colocar mercancía vehículo transporte,colocar mercancía vehículo transporte,Colocar mercancía vehículo transporte,1240,Gestionar logística de mercancías
equilibrar mercancía transporte,equilibrar mercancía transporte,Equilibrar mercancía transporte,1240,Gestionar logística de mercancías
seguir código deontológico servicios traducción,seguir código deontológico servicios traducción,Seguir código deontológico servicios traducción,1241,Aplicar código deontológico en servicios de traducción
gestión proyectos basada metodologías ágiles,gestión proyectos basada metodologías ágiles,Gestión proyectos basada metodologías ágiles,1242,Gestionar proyectos utilizando metodologías ágiles y lean
gestión proyectos según metodología lean,gestión proyectos según metodología lean,Gestión proyectos según metodología lean,1242,Gestionar proyectos utilizando metodologías ágiles y lean
mantener limpio guardarropa,mantener limpio guardarropa,Mantener limpio guardarropa,1243,Realizar tareas de limpieza en espacios comerciales
mantener limpia tienda,mantener limpia tienda,Mantener limpia tienda,1243,Realizar tareas de limpieza en espacios comerciales
mantener limpieza bar,mantener limpieza bar,Mantener limpieza bar,1243,Realizar tareas de limpieza en espacios comerciales
limpiar almacén,limpiar el almacén,Limpiar el almacén,1243,Realizar tareas de limpieza en espacios comerciales
aplicar seguridad cumplimiento nube,aplicar seguridad cumplimiento nube,Aplicar seguridad cumplimiento nube,1244,Implementar seguridad y cumplimiento en la nube
seguridad cumplimiento nube,seguridad cumplimiento nube,Seguridad cumplimiento nube,1244,Implementar seguridad y cumplimiento en la nube
gestionar libro mayor,gestionar libro mayor,Gestionar libro mayor,1245,Administrar transacciones en el libro mayor
mezclar ingredientes alimentarios,mezclar ingredientes alimentarios,Mezclar ingredientes alimentarios,1246,Elaborar productos alimenticios
mezclar productos alimenticios,mezclar productos alimenticios,Mezclar productos alimenticios,1246,Elaborar productos alimenticios
crear productos alimenticios nuevos,crear productos alimenticios nuevos,Crear productos alimenticios nuevos,1246,Elaborar productos alimenticios
amasar productos alimenticios,amasar productos alimenticios,Amasar productos alimenticios,1246,Elaborar productos alimenticios
apuestas mutuas,realizar apuestas mutuas,Realizar apuestas mutuas,1247,Gestionar apuestas financieras
calcular valor apuestas,calcular valor apuestas,Calcular valor apuestas,1247,Gestionar apuestas financieras
desarrollar planes gestión,desarrollar planes gestión,Desarrollar planes gestión,1248,Elaborar planes de gestión y operativos para empresas y clientes
elaborar planes empresa,elaborar planes empresa,Elaborar planes empresa,1248,Elaborar planes de gestión y operativos para empresas y clientes
elaborar planes pensiones,elaborar planes pensiones,Elaborar planes pensiones,1248,Elaborar planes de gestión y operativos para empresas y clientes
elaborar planes relacionados alta cliente,elaborar planes relacionados alta cliente,Elaborar planes relacionados alta cliente,1248,Elaborar planes de gestión y operativos para empresas y clientes
aplicar planes operativos negocios,aplicar planes operativos negocios,Aplicar planes operativos negocios,1248,Elaborar planes de gestión y operativos para empresas y clientes
innovar diseño calzado,innovar diseño calzado,Innovar diseño calzado,1249,Innovar y desarrollar en diseño de calzado y artículos de piel
innovar sector calzado artículos piel cuero,innovar sector calzado artículos piel cuero,Innovar sector calzado artículos piel cuero,1249,Innovar y desarrollar en diseño de calzado y artículos de piel
desarrollar colección calzado,desarrollar colección calzado,Desarrollar colección calzado,1249,Innovar y desarrollar en diseño de calzado y artículos de piel
estrategias gestión casos agresión sexual,estrategias gestión casos agresión sexual,Estrategias gestión casos agresión sexual,1250,Manejar estrategias de gestión en casos de agresión sexual
gestión configuración proyectos,gestión configuración proyectos,Gestión configuración proyectos,1251,Gestionar configuración e información de proyectos
gestionar información proyectos,gestionar información proyectos,Gestionar información proyectos,1251,Gestionar configuración e información de proyectos
recibir información clave proyectos,recibir información clave proyectos,Recibir información clave proyectos,1251,Gestionar configuración e información de proyectos
instalar sistemas aire comprimido,instalar sistemas aire comprimido,Instalar sistemas aire comprimido,1252,Instalar y mantener sistemas de ventilación y aire comprimido
asesorar sistemas ventilación medida,asesorar sistemas ventilación medida,Asesorar sistemas ventilación medida,1252,Instalar y mantener sistemas de ventilación y aire comprimido
diseñar redes ventilación,diseñar redes ventilación,Diseñar redes ventilación,1252,Instalar y mantener sistemas de ventilación y aire comprimido
reparar sistemas ventilación,reparar sistemas ventilación,Reparar sistemas ventilación,1252,Instalar y mantener sistemas de ventilación y aire comprimido
sistemas ventilación,instalar sistemas de ventilación,Instalar sistemas de ventilación,1252,Instalar y mantener sistemas de ventilación y aire comprimido
instalar equipos ventilación,instalar equipos ventilación,Instalar equipos ventilación,1252,Instalar y mantener sistemas de ventilación y aire comprimido
cambiar decorados,cambiar decorados,Cambiar decorados,1253,Gestionar decorados escenográficos
adaptar decorados,adaptar decorados,Adaptar decorados,1253,Gestionar decorados escenográficos
mantener equipos técnicos buques según instrucciones,mantener equipos técnicos buques según instrucciones,Mantener equipos técnicos buques según instrucciones,1254,Realizar mantenimiento de maquinaria y equipos en buques
realizar mantenimiento diario maquinaria buque,mantenimiento diario maquinaria buque,Realizar mantenimiento diario maquinaria buque,1254,Realizar mantenimiento de maquinaria y equipos en buques
realizar mantenimiento periódico máquinas buque,mantenimiento periódico máquinas buque,Realizar mantenimiento periódico máquinas buque,1254,Realizar mantenimiento de maquinaria y equipos en buques
mantener guardias máquinas seguridad,mantener guardias máquinas seguridad,Mantener guardias máquinas seguridad,1255,Mantener y reparar maquinaria y equipos industriales
mantener maquinaria,mantener maquinaria,Mantener maquinaria,1255,Mantener y reparar maquinaria y equipos industriales
mantener máquinas barredoras,mantener máquinas barredoras,Mantener máquinas barredoras,1255,Mantener y reparar maquinaria y equipos industriales
mantener máquinas cortar,mantener máquinas cortar,Mantener máquinas cortar,1255,Mantener y reparar maquinaria y equipos industriales
mantener máquinas cromatografía,mantener máquinas cromatografía,Mantener máquinas cromatografía,1255,Mantener y reparar maquinaria y equipos industriales
mantener máquinas explotación petrolera,mantener máquinas explotación petrolera,Mantener máquinas explotación petrolera,1255,Mantener y reparar maquinaria y equipos industriales
mantener máquinas mecatrónicas,mantener máquinas mecatrónicas,Mantener máquinas mecatrónicas,1255,Mantener y reparar maquinaria y equipos industriales
mantener maquinaria central eléctrica,mantener maquinaria central eléctrica,Mantener maquinaria central eléctrica,1255,Mantener y reparar maquinaria y equipos industriales
mantener equipos manipulación materiales,mantener equipos manipulación materiales,Mantener equipos manipulación materiales,1255,Mantener y reparar maquinaria y equipos industriales
mantener máquinas viñedos,mantener máquinas viñedos,Mantener máquinas viñedos,1255,Mantener y reparar maquinaria y equipos industriales
preparar lugar ceremonia,preparar lugar ceremonia,Preparar lugar ceremonia,1256,Organizar espacios para eventos ceremoniales
realizar programación asíncrona android,programación asíncrona android,Realizar programación asíncrona android,1257,Desarrollar programación asíncrona y concurrente en android
utilizar programación concurrente,utilizar programación concurrente,Utilizar programación concurrente,1257,Desarrollar programación asíncrona y concurrente en android
delimitar órganos encuentran riesgo,delimitar órganos encuentran riesgo,Delimitar órganos encuentran riesgo,1258,Identificar órganos en riesgo
participar debates,participar debates,Participar debates,1259,Moderar discusiones grupales
añadir losas obras cerámica,añadir losas obras cerámica,Añadir losas obras cerámica,1260,Crear y diseñar objetos de cerámica
crear objetos cerámica mano,crear objetos cerámica mano,Crear objetos cerámica mano,1260,Crear y diseñar objetos de cerámica
crear objetos cerámicos,crear objetos cerámicos,Crear objetos cerámicos,1260,Crear y diseñar objetos de cerámica
diseñar objetos hechos mano,diseñar objetos hechos mano,Diseñar objetos hechos mano,1260,Crear y diseñar objetos de cerámica
hacer recomendaciones precios,hacer recomendaciones precios,Hacer recomendaciones precios,1261,Evaluar y determinar precios óptimos
mejorar visibilidad sitio web,mejorar visibilidad sitio web,Mejorar visibilidad sitio web,1262,Optimizar estrategias de seo
aplicar reglamentos deportivos,aplicar reglamentos deportivos,Aplicar reglamentos deportivos,1263,Aplicar reglamentación en deportes
reglas deportes,cumplir reglas de deportes,Cumplir reglas de deportes,1263,Aplicar reglamentación en deportes
proporcionar documentación pruebas software,proporcionar documentación pruebas software,Proporcionar documentación pruebas software,1264,Documentar y presentar pruebas de software
documentar pruebas,documentar pruebas,Documentar pruebas,1264,Documentar y presentar pruebas de software
documentar propia práctica,documentar propia práctica,Documentar propia práctica,1264,Documentar y presentar pruebas de software
presentar pruebas,presentar pruebas,Presentar pruebas,1264,Documentar y presentar pruebas de software
instalar componentes artículos madera,instalar componentes artículos madera,Instalar componentes artículos madera,1265,Instalar componentes y elementos de madera en estructuras
instalar elementos madera estructuras,instalar elementos madera estructuras,Instalar elementos madera estructuras,1265,Instalar componentes y elementos de madera en estructuras
diseñar componentes automatización,diseñar componentes automatización,Diseñar componentes automatización,1266,Desarrollar e instalar componentes de automatización e ingeniería
instalar componentes automatización,instalar componentes automatización,Instalar componentes automatización,1266,Desarrollar e instalar componentes de automatización e ingeniería
diseñar componentes ingeniería,diseñar componentes ingeniería,Diseñar componentes ingeniería,1266,Desarrollar e instalar componentes de automatización e ingeniería
reparar daños causados inundaciones,reparar daños causados inundaciones,Reparar daños causados inundaciones,1267,Restaurar propiedades afectadas por inundaciones
política gestión riesgos internos,demostrar conocimientos sobre política gestión riesgos internos,Demostrar conocimientos sobre política gestión riesgos internos,1268,"Aplicar y demostrar conocimientos en políticas de gestión de riesgos y crediticia, incluyendo pruebas de tensión de crédito y políticas de uso de drogas en el trabajo"
aplicar política riesgo crédito,aplicar demostrar conocimientos sobre política riesgo crédito,Aplicar demostrar conocimientos sobre política riesgo crédito,1268,"Aplicar y demostrar conocimientos en políticas de gestión de riesgos y crediticia, incluyendo pruebas de tensión de crédito y políticas de uso de drogas en el trabajo"
preparar política crediticia,preparar demostrar conocimientos sobre política crediticia,Preparar demostrar conocimientos sobre política crediticia,1268,"Aplicar y demostrar conocimientos en políticas de gestión de riesgos y crediticia, incluyendo pruebas de tensión de crédito y políticas de uso de drogas en el trabajo"
aplicar metodologías pruebas tensión respecto crédito,aplicar metodologías pruebas tensión respecto crédito,Aplicar metodologías pruebas tensión respecto crédito,1268,"Aplicar y demostrar conocimientos en políticas de gestión de riesgos y crediticia, incluyendo pruebas de tensión de crédito y políticas de uso de drogas en el trabajo"
aplicar política uso drogas trabajo,aplicar demostrar conocimientos sobre política uso drogas trabajo,Aplicar demostrar conocimientos sobre política uso drogas trabajo,1268,"Aplicar y demostrar conocimientos en políticas de gestión de riesgos y crediticia, incluyendo pruebas de tensión de crédito y políticas de uso de drogas en el trabajo"
controlar calidad agua,controlar calidad agua,Controlar calidad agua,1269,Evaluar la calidad del agua
medir parámetros calidad agua,medir parámetros calidad agua,Medir parámetros calidad agua,1269,Evaluar la calidad del agua
interpretar datos científicos determinar calidad agua,interpretar datos científicos determinar calidad agua,Interpretar datos científicos determinar calidad agua,1269,Evaluar la calidad del agua
consultar alumnado contenido aprendizaje,consultar alumnado contenido aprendizaje,Consultar alumnado contenido aprendizaje,1270,Asesorar alumnado en sistemas de aprendizaje
consultar sistema apoyo alumnado,consultar apoyo alumnado,Consultar sistema apoyo alumnado,1270,Asesorar alumnado en sistemas de aprendizaje
gestionar información asistencia sanitaria,gestionar información asistencia sanitaria,Gestionar información asistencia sanitaria,1271,Gestionar y mantener confidencialidad de información de usuarios en asistencia sanitaria
gestionar información usuarios asistencia sanitaria,gestionar información usuarios asistencia sanitaria,Gestionar información usuarios asistencia sanitaria,1271,Gestionar y mantener confidencialidad de información de usuarios en asistencia sanitaria
registrar información facturación usuarios asistencia sanitaria,registrar información facturación usuarios asistencia sanitaria,Registrar información facturación usuarios asistencia sanitaria,1271,Gestionar y mantener confidencialidad de información de usuarios en asistencia sanitaria
recopilar datos generales usuarios asistencia sanitaria,recopilar datos generales usuarios asistencia sanitaria,Recopilar datos generales usuarios asistencia sanitaria,1271,Gestionar y mantener confidencialidad de información de usuarios en asistencia sanitaria
recopilar información bajo supervisión usuarios asistencia sanitaria,recopilar información bajo supervisión usuarios asistencia sanitaria,Recopilar información bajo supervisión usuarios asistencia sanitaria,1271,Gestionar y mantener confidencialidad de información de usuarios en asistencia sanitaria
mantener confidencialidad usuarios asistencia sanitaria,mantener confidencialidad usuarios asistencia sanitaria,Mantener confidencialidad usuarios asistencia sanitaria,1271,Gestionar y mantener confidencialidad de información de usuarios en asistencia sanitaria
establecer procesos datos,establecer procesos datos,Establecer procesos datos,1272,Gestionar y desarrollar procesamiento de datos
procesar datos,procesar datos,Procesar datos,1272,Gestionar y desarrollar procesamiento de datos
desarrollar aplicaciones procesamiento datos,desarrollar aplicaciones procesamiento datos,Desarrollar aplicaciones procesamiento datos,1272,Gestionar y desarrollar procesamiento de datos
asesorar desarrollo minero,asesorar desarrollo minero,Asesorar desarrollo minero,1273,Asesorar en procesos de producción y desarrollo minero y cervecero
asesorar producción minera,asesorar producción minera,Asesorar producción minera,1273,Asesorar en procesos de producción y desarrollo minero y cervecero
asesorar producción cerveza,asesorar producción cerveza,Asesorar producción cerveza,1273,Asesorar en procesos de producción y desarrollo minero y cervecero
mantener instalaciones almacenamiento,mantener instalaciones almacenamiento,Mantener instalaciones almacenamiento,1274,Administrar instalaciones de almacenamiento
organizar instalaciones almacenamiento,organizar instalaciones almacenamiento,Organizar instalaciones almacenamiento,1274,Administrar instalaciones de almacenamiento
tipos instalaciones almacenamiento,tipos instalaciones almacenamiento,Tipos instalaciones almacenamiento,1274,Administrar instalaciones de almacenamiento
criterios calidad instalaciones almacenamiento,criterios calidad instalaciones almacenamiento,Criterios calidad instalaciones almacenamiento,1274,Administrar instalaciones de almacenamiento
mantener físico almacén,mantener físico almacén,Mantener físico almacén,1274,Administrar instalaciones de almacenamiento
promover cambio social,promover cambio social,Promover cambio social,1275,Promover conciencia y justicia social a través de la educación psicosocial
promover conciencia social,promover conciencia social,Promover conciencia social,1275,Promover conciencia y justicia social a través de la educación psicosocial
promover educación psicosocial,promover educación psicosocial,Promover educación psicosocial,1275,Promover conciencia y justicia social a través de la educación psicosocial
justicia social,promover justicia social,Promover justicia social,1275,Promover conciencia y justicia social a través de la educación psicosocial
documentar procesos restauración,documentar procesos restauración,Documentar procesos restauración,1276,Supervisar restauración de procesos
evaluar procesos restauración,evaluar procesos restauración,Evaluar procesos restauración,1276,Supervisar restauración de procesos
promocionar transporte público,promocionar transporte público,Promocionar transporte público,1277,Promover transporte sostenible y público
promover uso transporte sostenible,promover uso transporte sostenible,Promover uso transporte sostenible,1277,Promover transporte sostenible y público
forjado caliente,aplicar forjado caliente,Aplicar forjado caliente,1278,Realizar técnicas de forjado
forjado frío,aplicar forjado frio,Aplicar forjado frio,1278,Realizar técnicas de forjado
aplicar medidas protección medioambiente,aplicar medidas protección medioambiente,Aplicar medidas protección medioambiente,1279,Implementar estrategias de protección medioambiental
aplicar medidas reducir impacto transporte carretera medioambiente,aplicar medidas reducir impacto transporte carretera medioambiente,Aplicar medidas reducir impacto transporte carretera medioambiente,1279,Implementar estrategias de protección medioambiental
poner marcha planes acción medioambiental,poner marcha planes acción medioambiental,Poner marcha planes acción medioambiental,1279,Implementar estrategias de protección medioambiental
garantizar protección datos operaciones aviación,garantizar protección datos operaciones aviación,Garantizar protección datos operaciones aviación,1280,Garantizar precisión y protección de datos en operaciones aeronáuticas
garantizar exactitud datos aeronáuticos,garantizar exactitud datos aeronáuticos,Garantizar exactitud datos aeronáuticos,1280,Garantizar precisión y protección de datos en operaciones aeronáuticas
definir enfoque artístico,definir enfoque artístico,Definir enfoque artístico,1281,Crear y aplicar visión artística
definir visión artística,definir visión artística,Definir visión artística,1281,Crear y aplicar visión artística
tener cuenta visión artística,tener cuenta visión artística,Tener cuenta visión artística,1281,Crear y aplicar visión artística
mantener contenedores acuicultura,mantener contenedores acuicultura,Mantener contenedores acuicultura,1282,Mantener y formar en instalaciones de acuicultura
mantener instalaciones acuícolas,mantener instalaciones acuícolas,Mantener instalaciones acuícolas,1282,Mantener y formar en instalaciones de acuicultura
mantener instalaciones acuicultura agua,mantener instalaciones acuicultura agua,Mantener instalaciones acuicultura agua,1282,Mantener y formar en instalaciones de acuicultura
proporcionar formación instalaciones acuícolas,proporcionar formación instalaciones acuícolas,Proporcionar formación instalaciones acuícolas,1282,Mantener y formar en instalaciones de acuicultura
mantener criaderos acuicultura,mantener criaderos acuicultura,Mantener criaderos acuicultura,1282,Mantener y formar en instalaciones de acuicultura
código deontológico periodistas,código deontológico periodistas,Código deontológico periodistas,1283,Aplicar códigos éticos en el periodismo
seguir código ético conducta periodistas,seguir código ético conducta periodistas,Seguir código ético conducta periodistas,1283,Aplicar códigos éticos en el periodismo
respaldos híbridos on premise cloud,respaldos híbridos on premise cloud,Respaldos híbridos on premise cloud,1284,Administrar respaldos híbridos on premise cloud
proceso fabricación vehículos,proceso fabricación vehículos,Proceso fabricación vehículos,1285,Implementar procesos de fabricación en la industria automotriz
procesos fabricación,procesos fabricación,Realizar procesos de fabricación,1285,Implementar procesos de fabricación en la industria automotriz
software procesos industriales,software procesos industriales,Software procesos industriales,1285,Implementar procesos de fabricación en la industria automotriz
deletrear dedos,deletrear dedos,Deletrear dedos,1286,Ejecutar movimientos precisos con los dedos
diseñar edificios,diseñar edificios,Diseñar edificios,1287,Diseñar sistemas arquitectónicos y envolventes para edificios
diseñar microclimas edificios,diseñar microclimas edificios,Diseñar microclimas edificios,1287,Diseñar sistemas arquitectónicos y envolventes para edificios
diseñar sistemas envolventes edificios,diseñar sistemas envolventes edificios,Diseñar sistemas envolventes edificios,1287,Diseñar sistemas arquitectónicos y envolventes para edificios
